experiment_name,train_source,accuracy,f1,recall,precision,loss,avg_loss (entropy or MMD),forgetting,original_accuracy,adapted_accuracy
organamnist_blured,organamnist,94.49940323829651,0.9405337273414385,0.9408589096936537,0.9423495141272997,0.3015149550593418,0.002899847082469774,0.33749938011169434,94.40882205963135,94.07132267951965
organamnist_gaussian,organamnist,96.25701308250427,0.9579395164940643,0.9570887709463414,0.9598015762846187,0.1889890925250454,0.0033942825120428332,0.6468713283538818,94.40882205963135,93.76195073127747
organamnist_poisson,organamnist,92.61941313743591,0.913646926828985,0.9104045568824458,0.9215848777614156,0.40767480272232837,0.0027922972388889477,0.09562373161315918,94.40882205963135,94.31319832801819
organcmnist_blured,organamnist,72.63283133506775,0.7132951481931068,0.7125530877211722,0.7267253803289097,2.1371285193675273,0.00209660530090332,0.12375116348266602,94.40882205963135,94.28507089614868
organcmnist_gaussian,organamnist,75.96150040626526,0.7429371308577586,0.7425171940758929,0.7554555041698069,1.7643596497741905,0.001938864024909767,0.11249780654907227,94.40882205963135,94.29632425308228
organcmnist_poisson,organamnist,69.8978066444397,0.6798808556345453,0.6785393839603927,0.6949826085004558,2.3831955825960316,0.002156091380763698,0.09000301361083984,94.40882205963135,94.31881904602051
organsmnist_blured,organamnist,39.336004853248596,0.36619486110276417,0.37341994400016815,0.3773200827735307,7.220597347027154,0.0026150739132450316,-0.04499554634094238,94.40882205963135,94.45381760597229
organsmnist_gaussian,organamnist,41.731783747673035,0.3851987824928868,0.3929949612990628,0.3954496502056825,6.904501561586022,0.0023881000310636414,0.1574993133544922,94.40882205963135,94.25132274627686
organsmnist_poisson,organamnist,37.76526153087616,0.3459459250758052,0.35304036911618125,0.3573897619437927,7.435488175619677,0.0022085557129177345,0.11249780654907227,94.40882205963135,94.29632425308228
organamnist,organcmnist,74.10674691200256,0.7194244838839723,0.7336218846263722,0.7292059968215084,1.727908094421677,0.004119959473609924,-0.7302820682525635,91.23661518096924,91.9668972492218
organsmnist,organcmnist,59.6247673034668,0.5486091727495981,0.5580413832629945,0.5521027448057436,3.4087377078642094,0.0018525462465237845,0.12171268463134766,92.2833502292633,92.16163754463196
organamnist_blured,organcmnist,70.29066681861877,0.6891131607801757,0.6958368001166296,0.7023672955402457,2.1343631879143095,0.0028853372387264084,0.04868507385253906,92.2833502292633,92.23466515541077
organamnist_gaussian,organcmnist,73.31293821334839,0.7120261762554461,0.7223179316893954,0.7215807497802353,1.8180392919675163,0.0035665681828623234,0.43816566467285156,92.2833502292633,91.84518456459045
organamnist_poisson,organcmnist,65.33231139183044,0.6379448806243422,0.645848260345466,0.6512700556003979,2.607899487018585,0.0035997858513956483,-0.1582324504852295,92.2833502292633,92.44158267974854
organcmnist_blured,organcmnist,94.16104555130005,0.9326020551614171,0.9253071320730577,0.942374960866649,0.29441975639075846,0.002935597058889028,1.1441051959991455,92.2833502292633,91.13924503326416
organcmnist_gaussian,organcmnist,95.04727721214294,0.9419288752072746,0.93590201471089,0.9498020002193358,0.23210931937650753,0.00329228349634119,0.3529667854309082,92.2833502292633,91.9303834438324
organcmnist_poisson,organcmnist,90.34473896026611,0.8890206647056108,0.8808323982525637,0.9024189591559658,0.5235486478418917,0.002334131743456866,0.5111932754516602,92.2833502292633,91.77215695381165
organsmnist_blured,organcmnist,56.9909930229187,0.5235253587798565,0.5318830782199792,0.5258550678806153,3.664742394752309,0.0016810721552311465,0.06085634231567383,92.2833502292633,92.22249388694763
organsmnist_gaussian,organcmnist,58.664870262145996,0.5381579156281968,0.5472271462298677,0.5420117237102713,3.493027262276199,0.001912382956083656,0.13388395309448242,92.2833502292633,92.14946627616882
organsmnist_poisson,organcmnist,52.93323993682861,0.484593545962843,0.4937710969587011,0.4875551740227124,4.073242539681759,0.0024615365841667057,-0.02434253692626953,92.2833502292633,92.30769276618958
organamnist,organsmnist,44.57929730415344,0.4096505190195645,0.434373148465111,0.4201018046581211,4.340855074965435,0.0019850509322207905,0.2039194107055664,80.38970828056335,80.18578886985779
organcmnist,organsmnist,76.46185755729675,0.7143540949339516,0.7161479075898446,0.7316669210101243,1.2593071708808075,0.0023882337518640467,0.05664229393005371,80.35572171211243,80.29907941818237
organamnist_blured,organsmnist,40.80571234226227,0.38898775982771566,0.40797940569461705,0.40458789504798054,4.866262017125669,0.0017401818348013836,-0.15860795974731445,80.35572171211243,80.51432967185974
organamnist_gaussian,organsmnist,43.68009567260742,0.40465716784816386,0.42619148865412976,0.4161852628288176,4.484266982389533,0.0017637488634689995,0.022655725479125977,80.35572171211243,80.3330659866333
organamnist_poisson,organsmnist,36.64456903934479,0.34878146653410574,0.36640825054437226,0.3619717797185825,5.4352588643198425,0.0015502787154653799,0.33986568450927734,80.35572171211243,80.01585602760315
organcmnist_blured,organsmnist,70.77980041503906,0.6644598062684911,0.6687181287509188,0.6781111528993812,1.6552549626376178,0.002154886400377428,0.04531145095825195,80.35572171211243,80.31041026115417
organcmnist_gaussian,organsmnist,75.5035400390625,0.7053907358942211,0.7078660619349295,0.7219083728813849,1.3176537268870585,0.0022970534659720755,-0.1925945281982422,80.35572171211243,80.54831624031067
organcmnist_poisson,organsmnist,66.40376448631287,0.6250008359318496,0.6262332984676838,0.6427793544718564,2.05460683590657,0.0019829237783277357,0.23790597915649414,80.35572171211243,80.11781573295593
organsmnist_blured,organsmnist,84.77648496627808,0.8138162365636884,0.8172084839628738,0.8237724575172932,0.6522074288825699,0.0016925716158097165,0.29454827308654785,80.35572171211243,80.06117343902588
organsmnist_gaussian,organsmnist,88.85803818702698,0.8484416759262051,0.8509018880029657,0.8578699033874192,0.42459547882757814,0.0026191137163772194,0.23790597915649414,80.35572171211243,80.11781573295593
organsmnist_poisson,organsmnist,80.36571145057678,0.7616755468586106,0.76423103602788,0.7694188489448663,0.8812976425069238,0.0014351376422165614,-0.033986568450927734,80.35572171211243,80.38970828056335
