experiment_name,train_source,accuracy,f1,recall,precision,loss,avg_loss (entropy or MMD),forgetting,original_accuracy,adapted_accuracy
organsmnist,organamnist,40.26416838169098,0.3748012471539272,0.3931515193235944,0.3831610718864246,7.013306155422617,0.10643287689477055,0.028121471405029297,94.56631541252136,94.53819394111633
organamnist_blured,organamnist,96.93183898925781,0.966539452088115,0.966281070256617,0.9670087900396023,0.20718296782939907,0.008666334596826978,-0.15187859535217285,94.56631541252136,94.71819400787354
organamnist_gaussian,organamnist,97.95682430267334,0.9768530821293482,0.9758836562141489,0.9779011582745148,0.14383980835029986,0.005440665899431738,-0.14625191688537598,94.56631541252136,94.71256732940674
organamnist_poisson,organamnist,93.6851978302002,0.9258863470470134,0.9225591263930106,0.9329727974217701,0.4293158307104655,0.016724422693495517,-0.01125335693359375,94.56631541252136,94.57756876945496
organcmnist_blured,organamnist,70.9875762462616,0.6971215223675112,0.7050307763758993,0.7005335268249963,2.6372739083058123,0.06816716323531158,-0.2025008201599121,94.56631541252136,94.76881623268127
organcmnist_gaussian,organamnist,75.35513043403625,0.7364965950447135,0.7425017306530733,0.7422793441585324,2.1826598579819136,0.058341614922156206,-0.1574993133544922,94.56631541252136,94.72381472587585
organcmnist_poisson,organamnist,69.09638047218323,0.676756134360383,0.6852470273403749,0.68559944040513,2.876456928253174,0.0690596596715418,-0.03937482833862305,94.56631541252136,94.60569024085999
organsmnist_blured,organamnist,37.50743567943573,0.35420598045302204,0.37273524790057055,0.3599476029905088,7.289854589452598,0.11620635501473082,0.028121471405029297,94.56631541252136,94.53819394111633
organsmnist_gaussian,organamnist,40.926578640937805,0.38220791594765796,0.39982405662817155,0.3909357423458063,6.934441815778084,0.10733925384767165,0.2643704414367676,94.56631541252136,94.3019449710846
organsmnist_poisson,organamnist,35.98429262638092,0.3365394212256238,0.351935347829665,0.3451820862815864,7.616528339192347,0.1115749254822731,-0.10125041007995605,94.56631541252136,94.66756582260132
organamnist,organcmnist,74.81217384338379,0.7291910873767101,0.7383956099597206,0.7307399697198249,1.7797723050998604,0.05722552446810448,-0.20691752433776855,90.90798497200012,91.11490249633789
organsmnist,organcmnist,59.33520793914795,0.5552915963253016,0.56377050781481,0.5585815141506089,3.476732750229424,0.06373699013200508,-0.0730276107788086,91.20010137557983,91.27312898635864
organamnist_blured,organcmnist,70.41985392570496,0.6905464910444227,0.6984293135325319,0.6992110055842904,2.260181616700214,0.05701017349391528,-0.1460552215576172,91.20010137557983,91.34615659713745
organamnist_gaussian,organcmnist,73.64609837532043,0.7158232792540696,0.7241136768477617,0.7189081864497872,1.900556399381679,0.0578128891673101,-0.36513805389404297,91.20010137557983,91.56523942947388
organamnist_poisson,organcmnist,63.588303327560425,0.6206133028777807,0.6275006637152682,0.6299834817780069,2.9164901062198307,0.06830082059554432,-0.13388395309448242,91.20010137557983,91.33398532867432
organcmnist_blured,organcmnist,95.37802338600159,0.9472169809194374,0.9457813466216233,0.9492294985444464,0.28119448957008286,0.016911739916414828,0.08519887924194336,91.20010137557983,91.11490249633789
organcmnist_gaussian,organcmnist,95.76813578605652,0.9496140009284112,0.94862008611011,0.951151527507585,0.24923063861206174,0.015741950145142306,-0.13388395309448242,91.20010137557983,91.33398532867432
organcmnist_poisson,organcmnist,88.03799152374268,0.8722987728931174,0.867465243179799,0.8841766514665248,0.7837755449720332,0.030293218791484833,-0.47467947006225586,91.20010137557983,91.67478084564209
organsmnist_blured,organcmnist,57.33211636543274,0.5365691570327573,0.5431025990678925,0.5401736750098732,3.6747767501676143,0.06623084070681012,0.3651440143585205,91.20010137557983,90.83495736122131
organsmnist_gaussian,organcmnist,58.32771062850952,0.5442104900621931,0.5527416955201524,0.5472886216637499,3.568094327365081,0.06519509590973104,0.08519887924194336,91.20010137557983,91.11490249633789
organsmnist_poisson,organcmnist,49.74415898323059,0.4662840498796084,0.46801009016878103,0.4735562939250728,4.450428882831244,0.07528624952142009,0.0730276107788086,91.20010137557983,91.12707376480103
organamnist,organsmnist,41.859596967697144,0.39238102598964986,0.41124324466591333,0.4058471193906508,4.645120137152465,0.15933682772776356,-3.0927836894989014,77.6141345500946,80.7069182395935
organcmnist,organsmnist,75.69435834884644,0.7055582433366652,0.7028162034498536,0.72228018774321,1.3544349728403864,0.11041633023603542,0.44182538986206055,80.87685108184814,80.43502569198608
organamnist_blured,organsmnist,42.11456775665283,0.40672927444883783,0.42398150740228896,0.42158544444210544,4.798617828928906,0.16455916945377122,0.12461543083190918,80.87685108184814,80.75223565101624
organamnist_gaussian,organsmnist,41.7474091053009,0.3919570767901864,0.41170436520287246,0.4062106407956377,4.759405298854993,0.15589749328792096,0.06797313690185547,80.87685108184814,80.80887794494629
organamnist_poisson,organsmnist,33.92316997051239,0.31225661734389015,0.33762847149112,0.32090839959992884,6.147814195052437,0.14537394950571267,0.06797313690185547,80.87685108184814,80.80887794494629
organcmnist_blured,organsmnist,72.92965054512024,0.6799970215608037,0.6762725678214717,0.6991192028724927,1.5814393278714773,0.11758803552066957,0.14727115631103516,80.87685108184814,80.72957992553711
organcmnist_gaussian,organsmnist,75.1219093799591,0.6953308723966815,0.6944079533808754,0.7128900789059625,1.448467040384138,0.1069022186100483,0.16993284225463867,80.87685108184814,80.7069182395935
organcmnist_poisson,organsmnist,67.09070205688477,0.6136202591126539,0.6074662039561457,0.6379849978967777,2.3520953339499395,0.10828887298703194,0.04531145095825195,80.87685108184814,80.83153963088989
organsmnist_blured,organsmnist,88.63590955734253,0.8482562100447908,0.8465341428194354,0.8569717692255915,0.5365602597594261,0.08181941433606414,-0.1019597053527832,80.87685108184814,80.97881078720093
organsmnist_gaussian,organsmnist,90.06385803222656,0.8618681371361532,0.8601611576672871,0.869346227948559,0.4651739563282371,0.07592849389928852,0.1019597053527832,80.87685108184814,80.77489137649536
organsmnist_poisson,organsmnist,83.11451077461243,0.7882690042763607,0.7835577043252214,0.7974380479872757,0.979177613548821,0.0890014421970106,0.12461543083190918,80.87685108184814,80.75223565101624
