epoch,train_loss,val_loss,source
1,0.12840249065509088,0.08311782762700436,organamnist
2,0.07068816055432031,0.06731091629868995,organamnist
3,0.048965271553316765,0.3528273386113784,organamnist
4,0.05004768225843795,0.10898242596543722,organamnist
5,0.06412086006369085,0.045254953971986346,organamnist
6,0.04956224351619607,0.21380359562588672,organamnist
7,0.039905016850303156,0.07332313503252853,organamnist
8,0.06678795230074878,0.43273890515168506,organamnist
9,0.058211536583150446,0.11994640544392443,organamnist
10,0.04194260280155336,0.15832136299086771,organamnist
1,0.2548385425379463,0.2563437478322732,organcmnist
2,0.09118994040524259,0.1163843335877908,organcmnist
3,0.06542093345128439,0.08971012824852216,organcmnist
4,0.059752479971696935,0.07042404212743829,organcmnist
5,0.034385399696618024,0.11205534244838514,organcmnist
6,0.030024868755729173,0.19974518763391594,organcmnist
7,0.03411410936250297,0.14178984484782345,organcmnist
8,0.01960276001402378,0.09840683006730519,organcmnist
9,0.037622945120115305,0.1350824359657341,organcmnist
10,0.025983126896807887,0.06334537419637568,organcmnist
1,0.4076316423645807,0.25255825854837893,organsmnist
2,0.18042285289239446,0.2832265911623836,organsmnist
3,0.1416653683836307,0.293698013573885,organsmnist
4,0.12531854492535285,0.2716715176589787,organsmnist
5,0.10920207701418377,0.3310646116733551,organsmnist
6,0.11123338977404691,0.3954653725028038,organsmnist
7,0.07647845760808078,0.5564998462796211,organsmnist
8,0.08190278746529457,0.34642059952020643,organsmnist
9,0.09502652943681139,0.3970222815871239,organsmnist
10,0.08153947198404632,0.25578317083418367,organsmnist
