epoch,train_loss,val_loss,source
1,0.133298057896116,0.06960347190946706,organamnist
2,0.06953987891990279,0.12147887951383989,organamnist
3,0.04873858431158278,0.13862139079719782,organamnist
4,0.049315124552424594,0.14334579156346472,organamnist
5,0.06243226494262836,0.14307162890155964,organamnist
6,0.04703783544700385,0.35137276811634793,organamnist
7,0.04403949669868676,0.05974432855374271,organamnist
8,0.0718322952310821,0.8411652720442006,organamnist
9,0.05804200170173334,0.06555493039252493,organamnist
10,0.044232627514432306,0.07110490081001497,organamnist
1,0.2615247395839177,0.14935983398831204,organcmnist
2,0.08982320249482405,0.10516346219044767,organcmnist
3,0.06528995462748058,0.21500591071028458,organcmnist
4,0.06113809811444405,0.13310156669467688,organcmnist
5,0.039477707258900444,0.1337954191196906,organcmnist
6,0.03577654827363314,0.078794544342121,organcmnist
7,0.028140457832099248,0.09057610807327651,organcmnist
8,0.016530067871345262,0.12437132092217278,organcmnist
9,0.01823555796427707,0.09973970671355921,organcmnist
10,0.024076287477738316,0.13164099506837756,organcmnist
1,0.4068020433187485,0.2200186222791672,organsmnist
2,0.18102420401682548,0.22921919077634811,organsmnist
3,0.15712004848713174,0.2530072838068008,organsmnist
4,0.12594757755415156,0.29218857660889624,organsmnist
5,0.11338172774385968,0.3251972168684006,organsmnist
6,0.0890860807560726,0.2586295437067747,organsmnist
7,0.0853210280931324,0.25736780669540166,organsmnist
8,0.09455280655294383,0.8751772060990334,organsmnist
9,0.08242150744713775,0.22818712741136551,organsmnist
10,0.07313857866673294,0.43392303586006165,organsmnist
