experiment_name,train_source,accuracy,f1,recall,precision,loss
organamnist,organamnist,96.52898181200068,0.9676157877326556,0.9666153519480157,0.9698906422650327,0.20914569008315953
organcmnist,organamnist,70.89428825849129,0.7280121649831902,0.7415239895696302,0.7514327641616358,1.7414439204576853
organsmnist,organamnist,31.79961128079013,0.3255132073580161,0.34826237804841736,0.40718526941287575,5.131804630841096
organamnist_blured,organamnist,81.12867584565697,0.8229422995674686,0.8407910271067727,0.8807466786080727,1.1554939176725305
organamnist_gaussian,organamnist,95.99864014958355,0.9601243329385952,0.9570268443948268,0.9653262014673316,0.2307453750723811
organamnist_poisson,organamnist,68.31888492265851,0.5688216512452132,0.6257208533025265,0.8028150268256232,1.5670114439466725
organcmnist_blured,organamnist,45.00275622270279,0.4974567662056293,0.5309909108226379,0.6977215519297458,4.491625918568792
organcmnist_gaussian,organamnist,71.29288046474154,0.7293589678672627,0.7352873603132206,0.7626259379298549,1.6229521854503735
organcmnist_poisson,organamnist,54.26790484671161,0.4452027956885029,0.5076560475884969,0.5282267556316333,2.384603614420504
organsmnist_blured,organamnist,20.2173654357225,0.20503919442399735,0.2586714144857921,0.3341455297778776,6.430111993992995
organsmnist_gaussian,organamnist,34.100194359604934,0.34093052540795443,0.3582012476340209,0.4282156468579392,4.694338912286129
organsmnist_poisson,organamnist,30.383562730554125,0.21535720345259815,0.26924748463722503,0.3133126883723249,4.179335902790128
organamnist,organcmnist,71.48903620601735,0.7021798122233606,0.7016460893306632,0.7336823071952915,1.27827020391174
organcmnist,organcmnist,96.68405207140736,0.9590813131595202,0.9604059601229141,0.9587026425043086,0.14876041757697994
organsmnist,organcmnist,52.92134385783983,0.4690040051167678,0.4976385515409284,0.5197365254271022,2.8082308200410173
organamnist_blured,organcmnist,28.077511473737886,0.2845195613949294,0.35207416729552826,0.6016021862297873,4.113600302260855
organamnist_gaussian,organcmnist,69.72972972972973,0.6939793826461674,0.6970863415605941,0.7270171632000605,1.3292887228986492
organamnist_poisson,organcmnist,36.6173720890702,0.31268735081000065,0.35015417251709047,0.5560825202837875,4.3298842445663785
organcmnist_blured,organcmnist,59.021328923377006,0.5980127856923223,0.6420482442409324,0.7626152820464785,1.9413178424577455
organcmnist_gaussian,organcmnist,95.6409277869652,0.9483702003573042,0.9435384250662708,0.9553467075926608,0.20626543208553985
organcmnist_poisson,organcmnist,46.16036975787644,0.41497595917492786,0.44383499540982824,0.7501507561318431,3.7913944012409933
organsmnist_blured,organcmnist,19.828646225853795,0.1937634097118293,0.25268883730821856,0.40658910065392856,5.458442368483181
organsmnist_gaussian,organcmnist,54.73007814049423,0.4884322678489638,0.49578667609224125,0.5375540617645015,2.459678583943904
organsmnist_poisson,organcmnist,32.65241362897148,0.2041468850225205,0.23174198287640735,0.3944840528565908,4.805509961801132
organamnist,organsmnist,42.2760496345402,0.4047805294079734,0.4431768767157686,0.48371698461985185,3.291093107410099
organcmnist,organsmnist,75.79188398422593,0.7125072023008241,0.7217663418991157,0.7447713217411103,1.04365449918283
organsmnist,organsmnist,88.97703383443735,0.8502490874987096,0.8548413579411068,0.8591867884714189,0.4270546432149592
organamnist_blured,organsmnist,23.557708652048277,0.19913295540180628,0.27557262181177733,0.45536872361050756,5.3225960814434545
organamnist_gaussian,organsmnist,38.687744348121704,0.384601601685627,0.4273621361355009,0.5012725740916434,3.6469076752662657
organamnist_poisson,organsmnist,16.088730239673634,0.12160274236904872,0.15455108129035502,0.2820659973797876,5.22597587937894
organcmnist_blured,organsmnist,39.63448246618327,0.39661609415090043,0.4412173536003921,0.6115376171451344,2.8863184477831867
organcmnist_gaussian,organsmnist,69.77059746427511,0.6713252627591259,0.6782460110203381,0.7247052970634698,1.4542079316603171
organcmnist_poisson,organsmnist,33.2654878514184,0.24145091448933745,0.25788251739453216,0.44289254974226855,4.088736706811028
organsmnist_blured,organsmnist,59.52560390305819,0.6224201691593353,0.6413995686777532,0.7088323958449597,1.7035742465614667
organsmnist_gaussian,organsmnist,85.17313870929357,0.8195444420158005,0.8162220387164125,0.839006994651185,0.6259572543771134
organsmnist_poisson,organsmnist,43.79040894847488,0.30255254845494667,0.33502679774690053,0.604567845810787,3.4845484646443787
