epoch,train_loss,val_loss,source
1,0.13094087615196776,0.15380711619760476,organamnist
2,0.06893812111831044,0.12327417300320138,organamnist
3,0.053369067883272774,0.18732349231254822,organamnist
4,0.052544181002196565,0.15889359258261382,organamnist
5,0.06768771628576427,0.11070069684373106,organamnist
6,0.049135850045417186,0.091020022603391,organamnist
7,0.050975588712316326,0.06410529494043622,organamnist
8,0.06375350725004854,0.13823459371034166,organamnist
9,0.045102962173147354,0.08738873587086952,organamnist
10,0.04518901115168243,0.4556446876011643,organamnist
1,0.265115407532921,0.2542063966393471,organcmnist
2,0.08593583815530234,0.09792302142044432,organcmnist
3,0.06499907983393938,0.09262321987434437,organcmnist
4,0.06969761648489271,0.3586627205735759,organcmnist
5,0.0441351345461775,0.09658354461977356,organcmnist
6,0.026437556666696407,0.17041350175675593,organcmnist
7,0.02231431087278122,0.14058409632477714,organcmnist
8,0.02591163204958909,0.11576391197741032,organcmnist
9,0.028433739425107726,0.13065342585507192,organcmnist
10,0.02416259403666938,0.13163711120202942,organcmnist
1,0.417442933681908,0.4129647083580494,organsmnist
2,0.1768309261752378,0.22734799776226283,organsmnist
3,0.15027110945057431,0.4462497740983963,organsmnist
4,0.1250981245565852,0.2677447505295277,organsmnist
5,0.10804742106467212,0.4448367036879063,organsmnist
6,0.08850793468706104,0.31831796690821645,organsmnist
7,0.10286110159385642,0.255354093760252,organsmnist
8,0.0913322225144697,0.28022083938121795,organsmnist
9,0.0687117244398922,0.22271188711747528,organsmnist
10,0.07338340766727924,0.3939861498773098,organsmnist
