experiment_name,train_source,accuracy,f1,recall,precision,loss,avg_entropy,forgetting,original_accuracy,adapted_accuracy
organamnist_blured,organamnist,97.1562147140503,0.9698952485625584,0.9689878358525209,0.9712250732381907,0.19573808574356877,0.006387173338621126,0.1799941062927246,95.32005786895752,95.1400637626648
organamnist_gaussian,organamnist,98.18800091743469,0.9797216439195678,0.9777619083795006,0.9818795283755158,0.12966561281391478,0.004414775781333447,0.016874074935913086,95.32005786895752,95.3031837940216
organamnist_poisson,organamnist,95.15383243560791,0.9473807464524427,0.9451509746505038,0.9510256142065014,0.3142498613173223,0.012734400429357978,0.005626678466796875,95.32005786895752,95.31443119049072
organcmnist_blured,organamnist,76.82652473449707,0.7578903367258742,0.760875819895826,0.7625945003011999,1.854233631894395,0.05640767921467085,0.02250075340270996,95.32005786895752,95.29755711555481
organcmnist_gaussian,organamnist,79.53610420227051,0.7797321682688723,0.7816329869990212,0.787093716002411,1.5443161358704438,0.05582315010597577,-0.02250075340270996,95.32005786895752,95.34255862236023
organcmnist_poisson,organamnist,73.54450225830078,0.726344297906721,0.7289015109557032,0.7395784950874678,2.072016065829509,0.06704052574429158,0.11249780654907227,95.32005786895752,95.20756006240845
organsmnist_blured,organamnist,38.391971588134766,0.36700529992378056,0.3815868326038205,0.3770365781638452,7.230755738195429,0.09034632246582036,-0.01125335693359375,95.32005786895752,95.33131122589111
organsmnist_gaussian,organamnist,40.45853018760681,0.38187420248859016,0.3961141283075765,0.39617517584611583,6.737780648439669,0.0912957408555268,0.11812448501586914,95.32005786895752,95.20193338394165
organsmnist_poisson,organamnist,37.586766481399536,0.3617623695952165,0.37180748762563914,0.3750941254693364,7.113930220531328,0.09657685290360209,0.1518726348876953,95.32005786895752,95.16818523406982
organamnist,organcmnist,75.47850012779236,0.7451773368470861,0.7575248747337976,0.7450920255810183,1.649237811047098,0.06551045431634006,-1.4483928680419922,89.19182419776917,90.64021706581116
organsmnist,organcmnist,59.28364396095276,0.5427814130596983,0.5466168990439454,0.5560464383052606,3.6161759069123245,0.06748228274323613,-0.17039775848388672,90.65238833427429,90.82278609275818
organamnist_blured,organcmnist,70.83290815353394,0.7087596923351136,0.7184296005729554,0.7111356814670357,2.178362568046736,0.06265495898526,0.19474029541015625,90.65238833427429,90.45764803886414
organamnist_gaussian,organcmnist,74.39401745796204,0.734461777654009,0.7472099431575767,0.7347163885251476,1.7611568528672923,0.06385970395868239,0.06085634231567383,90.65238833427429,90.59153199195862
organamnist_poisson,organcmnist,61.24086380004883,0.6106817496646845,0.6197332371065202,0.6215272381607702,3.1079704440158347,0.07145787067711354,0.04868507385253906,90.65238833427429,90.60370326042175
organcmnist_blured,organcmnist,94.68684792518616,0.942288431698303,0.9392634693451274,0.946822434155044,0.3196989806117238,0.019762323182579634,0.2799391746520996,90.65238833427429,90.37244915962219
organcmnist_gaussian,organcmnist,95.36954760551453,0.9484275030000741,0.9472245941322703,0.9508797323435285,0.27984715074904865,0.018152082450939595,-0.13388395309448242,90.65238833427429,90.78627228736877
organcmnist_poisson,organcmnist,88.42810392379761,0.8724365647287248,0.865028509308193,0.889639021178457,0.7898852512643144,0.02877552228400836,0.20691156387329102,90.65238833427429,90.445476770401
organsmnist_blured,organcmnist,57.73273706436157,0.5270437693043285,0.5308853547221782,0.5420054411227732,3.7964936876054947,0.06904853114546253,-0.04868507385253906,90.65238833427429,90.70107340812683
organsmnist_gaussian,organcmnist,58.69659781455994,0.5380960663087407,0.5427369567757242,0.550401572846622,3.6820518389571135,0.06818077596008475,-0.2434253692626953,90.65238833427429,90.89581370353699
organsmnist_poisson,organcmnist,50.14874339103699,0.4607267880150366,0.4612843259227883,0.47277922380172,4.616169693506309,0.07854038692519144,0.10954141616821289,90.65238833427429,90.54284691810608
organamnist,organsmnist,46.61397337913513,0.4292407994787588,0.4499230258984694,0.45255929134160466,4.414031948732293,0.13653622010479802,-0.11329054832458496,79.31346893310547,79.42675948143005
organcmnist,organsmnist,75.71131587028503,0.7012081384308386,0.708477214127203,0.7176905523778374,1.4522831369090725,0.1045776180520251,0.14727115631103516,79.50605750083923,79.3587863445282
organamnist_blured,organsmnist,40.93659818172455,0.3770484701755327,0.40199902780382357,0.39669474349192946,5.282576912382375,0.13912328737585442,0.033986568450927734,79.50605750083923,79.4720709323883
organamnist_gaussian,organsmnist,45.5940842628479,0.42005477887628045,0.4403124624731325,0.4463945865331054,4.549477788158085,0.13586175185830696,0.3625214099884033,79.50605750083923,79.14353609085083
organamnist_poisson,organsmnist,40.09349048137665,0.3753292530660816,0.39158918021067995,0.4066510211015094,5.508707360599352,0.12411405332386494,0.3058791160583496,79.50605750083923,79.20017838478088
organcmnist_blured,organsmnist,71.62362933158875,0.6611023667753237,0.66877330869086,0.6800191519069599,1.8184706781361555,0.1073940961143455,0.39650797843933105,79.50605750083923,79.1095495223999
organcmnist_gaussian,organsmnist,74.52825903892517,0.6902325390471605,0.6969557463862289,0.708738762126763,1.5657185419185742,0.10637585726138708,-0.033986568450927734,79.50605750083923,79.54004406929016
organcmnist_poisson,organsmnist,67.18398928642273,0.6324446797755341,0.6335714102640455,0.6564184241165699,2.3119015120171214,0.10482845290287121,-0.06797313690185547,79.50605750083923,79.57403063774109
organsmnist_blured,organsmnist,87.94970512390137,0.8341434282159317,0.8412581353128961,0.8455790142808329,0.5492765363400358,0.07815022619091315,-0.05664825439453125,79.50605750083923,79.56270575523376
organsmnist_gaussian,organsmnist,89.49664831161499,0.8504910604092679,0.8552702325480982,0.861228304289801,0.46342510817014626,0.07294050736475717,-0.033986568450927734,79.50605750083923,79.54004406929016
organsmnist_poisson,organsmnist,83.47546458244324,0.7882935218119566,0.7936493404096957,0.7962824378993172,0.8689216962320551,0.08313785975581499,-0.033986568450927734,79.50605750083923,79.54004406929016
